cpt,desc,status,work_rvu,pe_nonfac_rvu,pe_fac_rvu,mp_rvu
21385,Opn tx orbit fx transantral,A,9.33,9.13,9.13,1.73
21386,Opn tx orbit fx periorbital,A,9.33,7.83,7.83,1.73
21387,Opn tx orbit fx combined,A,9.86,9.33,9.33,1.83
21390,Opn tx orbit periorbtl implt,A,10.95,8.79,8.79,1.47
21395,Opn tx orbit periorbt w/grft,A,14.33,9.87,9.87,2.65
21400,Closed tx orbit w/o manipulj,A,1.46,5.43,3.48,0.25
21401,Closed tx orbit w/manipulj,A,3.59,12.28,5.2,0.66
21406,Opn tx orbit fx w/o implant,A,7.23,7.68,7.68,1.33
21407,Opn tx orbit fx w/implant,A,8.79,7.29,7.29,1.21
21408,Opn tx orbit fx w/bone grft,A,12.46,9.6,9.6,2.32
21421,Cltx palatal/max fx wire fix,A,5.87,13.23,8.85,0.66
21422,Optx palatal/max fracture,A,8.51,7.92,7.92,1.24
21423,Optx palatal/max fx comp,A,10.58,9.07,9.07,1.96
21431,Cltx craniofacial separation,A,7.7,10.79,10.79,0.88
21432,Optx cranfcl sep w/wiring,A,8.6,9.93,9.93,1.59
21433,Optx cranfcl sep comp mlt,A,25.63,15.31,15.31,4.76
21435,Optx crnfc sep comp int&/xtr,A,19.75,14.36,14.36,3.66
21436,Optx crnfcl sep comp mlt int,A,29.54,19.0,19.0,5.49
21440,Cltx mndblr/max alv ridge fx,A,3.35,19.95,14.18,0.48
21445,Optx mndblr/max alv ridge fx,A,6.1,15.76,10.18,0.69
21450,Cltx mndblr fx w/o mnpj,A,3.62,13.87,9.74,0.41
21451,Cltx mndblr fx w/mnpj,A,5.51,17.22,12.08,0.62
21452,Perq tx mndblr fx xtrnl fixj,A,2.34,20.23,11.06,0.35
21453,Cltx mndblr fx ntrdntl fixj,A,6.47,26.1,19.25,0.98
21454,Optx mndblr fx xtrnl fixj,A,7.18,5.49,5.49,0.82
21461,Optx mndblr fx wo ntrdntl,A,9.08,43.24,18.66,1.31
21462,Optx mndblr fx w/ntrdntl,A,10.73,48.58,20.79,1.61
21465,Optx mndblr cndylr fx,A,12.79,7.42,7.42,1.46
21470,Optx complicated mndblr fx,A,17.1,11.46,11.46,2.56
21480,Cltx tmprmand dislc 1st/sbsq,A,0.59,4.43,0.19,0.13
21485,Cltx tmprmand dislc comp,A,4.65,24.67,17.77,0.67
21490,Optx tmprmand dislocation,A,12.63,7.29,7.29,1.44
21497,Interdental wirg oth/thn fx,A,4.52,16.45,11.8,0.5
21499,Unlisted muscskel px head,C,0.0,0.0,0.0,0.0
21501,I&d dp absc/hmtma sft ts nck,A,3.88,10.79,5.1,0.83
21502,I&d dp abs/hmtm nck rib ostc,A,7.36,6.11,6.11,1.85
